"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"50949099999","2023-01-01","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","   3.6"," 8","  -7.5"," 8","1032.8"," 8","014.2"," 8","  5.5"," 8","  4.1"," 8","  7.8","999.9","  24.1"," ","  -5.6"," "," 0.00","G","  0.4","000000"
"50949099999","2023-01-02","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","   4.8"," 8","  -5.4"," 8","1031.2"," 8","012.5"," 8","  5.0"," 8","  4.4"," 8","  7.8","999.9","  16.7"," ","  -6.0"," "," 0.00","G","  0.4","000000"
"50949099999","2023-01-03","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","   3.0"," 8","  -6.9"," 8","1031.0"," 8","012.4"," 8","  3.7"," 8","  3.2"," 8","  5.8","999.9","  15.8"," ","  -6.0"," "," 0.00","G","  0.4","000000"
"50949099999","2023-01-04","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","   5.6"," 8","  -5.4"," 8","1029.5"," 8","010.9"," 8","  4.2"," 8","  3.7"," 8","  5.8","999.9","  17.4"," ","  -6.5"," "," 0.02","G","999.9","000000"
"50949099999","2023-01-05","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","   7.8"," 8","   0.8"," 8","1025.5"," 8","007.1"," 8","  2.8"," 8","  2.9"," 8","  5.8","999.9","  22.3"," ","  -4.0"," "," 0.00","G","  0.4","000000"
"50949099999","2023-01-06","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","   3.3"," 8","  -1.0"," 8","1021.6"," 8","003.1"," 8","  2.3"," 8","  2.9"," 8","  5.8","999.9","  22.3"," ","  -6.7"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-07","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","   5.3"," 8","  -0.8"," 8","1022.3"," 8","003.8"," 8","  2.6"," 8","  1.7"," 8","  2.1","999.9","  15.4"," ","  -7.2"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-08","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","  14.8"," 8","   8.6"," 8","1023.2"," 8","005.0"," 8","  3.3"," 8","  3.2"," 8","  5.8","999.9","  27.1"," ","  -4.9"," "," 0.00","G","  0.4","000000"
"50949099999","2023-01-09","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","  11.1"," 8","   1.4"," 8","1030.7"," 8","012.3"," 8","  4.5"," 8","  3.9"," 8","  7.8","999.9","  27.1"," ","  -2.9"," "," 0.00","G","  0.4","000000"
"50949099999","2023-01-10","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","  24.8"," 8","  13.3"," 8","1018.8"," 8","001.0"," 8","  5.1"," 8","  6.8"," 8","  9.7","999.9","  33.6"," ","  -1.7"," "," 0.00","G","  0.4","000000"
"50949099999","2023-01-11","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","  26.4"," 8","  22.1"," 8","1016.0"," 8","998.5"," 8","  4.0"," 8","  5.1"," 8","  9.7","999.9","  37.2"," ","  16.5"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-12","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","  33.1"," 8","  29.2"," 8","1014.7"," 8","997.2"," 8","  3.5"," 8","  8.3"," 8"," 13.6","999.9","  39.0"," ","  16.5"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-13","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","  12.8"," 8","  -5.1"," 8","1031.7"," 8","013.6"," 8","  7.5"," 8"," 11.4"," 8"," 15.5","999.9","  39.0"," ","   0.3"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-14","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","  -2.8"," 8"," -18.6"," 8","1035.7"," 8","016.8"," 8","  6.0"," 8","  3.6"," 8","  5.8","999.9","  21.4"," "," -10.8"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-15","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","   2.1"," 8"," -14.3"," 8","1025.9"," 8","007.2"," 8","  5.8"," 8","  4.9"," 8","  9.7","999.9","  11.5"," "," -10.8"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-16","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","   2.5"," 8"," -11.2"," 8","1024.6"," 8","006.0"," 8","  4.5"," 8","  2.9"," 8","  7.8","999.9","  15.1"," ","  -7.2"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-17","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","   6.6"," 8"," -10.5"," 8","1024.6"," 8","006.1"," 8","  6.1"," 8","  4.6"," 8","  9.7","999.9","  17.4"," ","  -6.0"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-18","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","  14.2"," 8","  -2.8"," 8","1016.8"," 8","998.7"," 8","  5.0"," 8","  6.1"," 8"," 11.7","999.9","  21.9"," ","  -3.5"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-19","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","   7.5"," 8","  -2.1"," 8","1020.3"," 8","002.0"," 8","  3.9"," 8","  3.4"," 8","  5.8","999.9","  21.9"," ","  -0.8"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-20","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","  -4.4"," 8"," -13.5"," 8","1030.3"," 8","011.5"," 8","  5.1"," 8","  6.1"," 8","  7.8","999.9","  14.5"," ","  -8.3"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-21","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","  -1.4"," 8","  -7.4"," 8","1029.1"," 8","010.2"," 8","  3.3"," 8","  4.9"," 8","  7.8","999.9","  10.9"," "," -12.6"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-22","45.0833333","124.8666666","136.0","QIAN GORLOS, CH"," -13.0"," 8"," -22.2"," 8","1037.0"," 8","017.7"," 8","  4.9"," 8","  5.6"," 8","  7.8","999.9","  10.9"," "," -20.9"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-23","45.0833333","124.8666666","136.0","QIAN GORLOS, CH"," -15.5"," 8"," -27.2"," 8","1036.0"," 8","016.4"," 8","  4.7"," 8","  3.6"," 8","  5.8","999.9","  -3.6"," "," -22.9"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-24","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","  -6.6"," 8"," -23.0"," 8","1029.3"," 8","010.1"," 8","  6.3"," 8","  5.6"," 8","  7.8","999.9","   1.8"," "," -21.8"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-25","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","  -2.1"," 8"," -18.2"," 8","1022.9"," 8","004.1"," 8","  4.3"," 8","  3.6"," 8","  7.8","999.9","  11.8"," "," -18.2"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-26","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","  -4.9"," 8"," -15.9"," 8","1027.7"," 8","008.8"," 8","  3.8"," 8","  2.2"," 8","  3.9","999.9","  11.8"," "," -12.6"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-27","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","  -2.3"," 8"," -17.1"," 8","1023.4"," 8","004.5"," 8","  4.7"," 8","  3.9"," 8","  7.8","999.9","   6.8"," "," -14.1"," "," 0.00","G","999.9","000000"
"50949099999","2023-01-28","45.0833333","124.8666666","136.0","QIAN GORLOS, CH","   5.9"," 8","  -8.2"," 8","1017.2"," 8","998.7"," 8","  4.8"," 8","  4.9"," 8","  7.8","999.9","  10.4"," "," -12.5"," "," 0.00","G","999.9","000000"
