"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"53564099999","2023-01-01","39.3666666","111.2166666","1037.0","HEQU, CH","  16.4"," 8","  -0.3"," 8","1041.6"," 8","912.0"," 8"," 13.4"," 8","  2.4"," 8","  5.8","999.9","  31.3"," ","   2.1"," "," 0.00","G","999.9","000000"
"53564099999","2023-01-02","39.3666666","111.2166666","1037.0","HEQU, CH","  16.1"," 8","   0.0"," 8","1040.1"," 8","910.9"," 8"," 13.3"," 8","  1.9"," 8","  3.9","999.9","  30.7"," ","   4.6"," "," 0.00","G","999.9","000000"
"53564099999","2023-01-03","39.3666666","111.2166666","1037.0","HEQU, CH","  17.3"," 8","   2.0"," 8","1035.8"," 8","907.2"," 8"," 10.8"," 8","  2.7"," 8","  3.9","999.9","  33.8"," ","   4.6"," "," 0.00","G","999.9","000000"
"53564099999","2023-01-04","39.3666666","111.2166666","1037.0","HEQU, CH","  20.4"," 8","   1.0"," 8","1034.7"," 8","906.6"," 8"," 13.6"," 8","  3.6"," 8","  5.8","999.9","  34.5"," ","   3.6"," "," 0.00","G","999.9","000000"
"53564099999","2023-01-05","39.3666666","111.2166666","1037.0","HEQU, CH","  27.1"," 8","   2.7"," 8","1032.6"," 8","906.4"," 8"," 16.8"," 8","  6.1"," 8","  7.8","999.9","  39.9"," ","   3.6"," "," 0.00","G","999.9","000000"
"53564099999","2023-01-06","39.3666666","111.2166666","1037.0","HEQU, CH","  27.6"," 8","   1.4"," 8","1028.2"," 8","903.3"," 8"," 17.0"," 8","  5.1"," 8","  9.7","999.9","  39.9"," ","   8.1"," "," 0.00","G","999.9","000000"
"53564099999","2023-01-07","39.3666666","111.2166666","1037.0","HEQU, CH","  29.8"," 8","   4.1"," 8","1023.2"," 8","899.0"," 8"," 16.1"," 8","  2.7"," 8","  5.8","999.9","  46.4"," ","  13.5"," "," 0.00","G","999.9","000000"
"53564099999","2023-01-08","39.3666666","111.2166666","1037.0","HEQU, CH","  27.4"," 8","   5.9"," 8","1028.7"," 8","903.7"," 8"," 14.8"," 8","  1.9"," 8","  3.9","999.9","  46.4"," ","  14.0"," "," 0.00","G","999.9","000000"
"53564099999","2023-01-09","39.3666666","111.2166666","1037.0","HEQU, CH","  26.7"," 8","   8.8"," 8","1030.8"," 8","905.2"," 8"," 15.4"," 8","  2.2"," 8","  3.9","999.9","  45.0"," ","  12.6"," "," 0.00","G","999.9","000000"
"53564099999","2023-01-10","39.3666666","111.2166666","1037.0","HEQU, CH","  29.3"," 8","  12.1"," 8","1024.5"," 8","900.1"," 8"," 11.4"," 8","  2.7"," 8","  5.8","999.9","  45.0"," ","  12.6"," "," 0.00","G","999.9","000000"
"53564099999","2023-01-11","39.3666666","111.2166666","1037.0","HEQU, CH","  32.4"," 8","  19.2"," 8","1015.8"," 8","893.1"," 8","  7.1"," 8","  2.9"," 8","  7.8","999.9","  44.8"," ","  14.4"," "," 0.00","G","999.9","000000"
"53564099999","2023-01-12","39.3666666","111.2166666","1037.0","HEQU, CH","  34.8"," 8","  23.7"," 8","1012.1"," 8","890.6"," 8","  5.2"," 8","  3.9"," 8","  7.8","999.9","  47.5"," ","  25.0"," "," 0.00","G","999.9","000000"
"53564099999","2023-01-13","39.3666666","111.2166666","1037.0","HEQU, CH","  16.8"," 8","   7.7"," 8","1031.8"," 8","904.9"," 8"," 12.7"," 8","  9.7"," 8"," 11.7","999.9","  30.4","*","   7.5"," "," 0.13","G","999.9","001000"
